Provider_City,Completed_Claims_Count
Adambury,3
Allenborough,3
Allenton,1
Amberton,1
Andersonmouth,3
Andersonville,3
Andreaborough,2
Anneville,3
Aprilberg,1
Basstown,2
Batesstad,1
Benjaminstad,2
Bentleyburgh,3
Bentonfurt,1
Bradleyport,1
Brandyberg,2
Brittanyside,1
Brittanyville,3
Brownberg,3
Brownchester,2
Cameronside,3
Chelseaside,1
Clarkberg,6
Coleburgh,8
Cunninghambury,4
Danachester,5
Darrylchester,1
Davidborough,1
Davidland,3
Davidport,1
Davidville,1
Derekport,4
Devinmouth,8
Donnaborough,1
East Andrea,3
East Andrewland,2
East Angela,2
East Angelafort,2
East Bernard,1
East Brittanyland,2
East Candace,3
East Courtneymouth,1
East Craig,1
East Deniseborough,1
East Edwinburgh,1
East Elizabethberg,2
East Emily,3
East Emilyburgh,2
East Garyton,1
East Heatherport,10
East John,1
East Lisa,3
East Roberthaven,1
East Sandratown,5
East Stephanie,7
East Tammy,2
East Terrancemouth,1
East Timothy,1
Edwardsbury,1
Frederickside,3
Gaineschester,3
Garciatown,1
Garzaville,2
Gibsonfort,1
Gutierrezshire,3
Harrishaven,7
Harrisonbury,3
Heatherside,1
Heatherview,5
Herbertbury,3
Hestermouth,1
Huberstad,2
Jamesfurt,6
Jasonmouth,6
Jeffreybury,3
Jeffreyshire,1
Johnsonborough,3
Jonathanhaven,1
Jonathanmouth,3
Jonathanstad,2
Jonestown,2
Jordanborough,3
Joshuastad,3
Keithburgh,2
Kevinfort,3
Lake Amymouth,2
Lake Andrewmouth,7
Lake Cathy,3
Lake Christopherburgh,5
Lake Heather,1
Lake Jamestown,1
Lake Jasmin,4
Lake Jason,3
Lake Jessicamouth,2
Lake Justin,4
Lake Kari,1
Lake Latasha,2
Lake Lauraton,2
Lake Michaelfurt,3
Lake Shelby,2
Lake Stephen,3
Lake Tamara,2
Lake Theresa,3
Lake Vanessa,5
Lake Vanessaland,3
Laurietown,2
Leslieville,3
Lewishaven,3
Linchester,3
Lindseyland,3
Longland,2
Louismouth,3
Manningshire,1
Manuelhaven,2
Marissaville,2
Marthaside,5
Marymouth,6
Matthewbury,1
Maxwellburgh,1
Maysside,1
Mcclainfurt,2
Meghanfurt,2
Mendezmouth,2
Michaelton,3
Millerview,3
Mitchellmouth,1
Morriston,1
Murrayborough,3
New Aaronberg,3
New Baileyfort,2
New Billy,3
New Bobbytown,1
New Calebberg,1
New Carol,6
New Curtis,2
New Dawnborough,4
New Douglas,1
New Erica,3
New Evanport,2
New Ginaborough,4
New John,3
New Lisa,3
New Robertstad,3
New Zachary,2
North Ashley,1
North Crystal,1
North Destiny,4
North Edwinchester,1
North Gary,1
North Katelyn,1
North Katelynland,2
North Katherineshire,2
North Keith,2
North Kevinhaven,3
North Lisaland,2
North Mike,3
North Nathan,2
North Sherrimouth,3
North Stevenbury,3
North Tom,3
North Victoriastad,2
North William,6
Olsenstad,2
Padillatown,3
Patrickfort,5
Paulmouth,4
Pearsonchester,3
Perezport,6
Pereztown,2
Phillipsfort,6
Port Amandamouth,1
Port Bryce,2
Port Connie,5
Port Davidshire,1
Port Donnaton,3
Port Emily,2
Port Emilyburgh,2
Port Eric,3
Port Karen,1
Port Kevinburgh,2
Port Lisamouth,1
Port Marcland,5
Port Matthew,1
Port Melanie,3
Port Patrick,1
Port Peter,2
Port Troychester,7
Ramseyfort,2
Raybury,1
Roachhaven,4
Ruizmouth,1
Russellfurt,8
Samanthabury,1
Samueltown,5
Shortfurt,7
South Alicia,5
South Allisonburgh,1
South Andrewport,1
South Bradleyburgh,1
South Christopherborough,6
South Douglashaven,2
South Edwardtown,6
South Jerryside,2
South Justinborough,1
South Kathryn,8
South Kellyville,4
South Lisaberg,4
South Michaelberg,4
South Nicole,2
South Stefanietown,5
Spenceland,1
Steeleport,3
Stevenchester,1
Sylviabury,1
Taylormouth,2
Thomasville,1
Timothychester,5
Timothyview,2
Tinamouth,3
Toddberg,2
Toddstad,3
Vazquezshire,3
Wadeville,3
Walkerfurt,3
Walterborough,3
West Adam,5
West Adammouth,1
West Billborough,1
West Corey,2
West Danielborough,3
West Dannyland,1
West Kara,2
West Karen,3
West Kevin,4
West Lauraborough,3
West Lisamouth,3
West Lucasville,2
West Melissastad,2
West Miaside,1
West Michael,4
West Omarside,2
West Whitneymouth,2
Westmouth,4
Williamsonmouth,1
Woodport,2
Yatesside,2
Youngchester,3
Zimmermanville,5
